STRAT_PSU,psu_cert,strata_psu,pop_psu,pop_du,n_du_1,round_base,n_du,f,dw,n_psu
1,FALSE,1-1-1,1005,239456,27420,15,9675,0.0404040825871977,24.7499741602067,645
2,FALSE,1-2-2,72,17586,27420,15,705,0.0400887069259638,24.9446808510638,47
3,FALSE,1-2-3,34,8004,27420,15,330,0.0412293853073463,24.2545454545455,22
4,FALSE,1-2-4,170,38253,27420,15,1545,0.0403889890988942,24.7592233009709,103
5,FALSE,1-2-5,116,27571,27420,15,1110,0.0402596931558522,24.8387387387387,74
6,FALSE,1-2-6,180,41665,27420,15,1680,0.0403216128645146,24.8005952380952,112
7,FALSE,1-3-2,174,44125,27420,15,1785,0.0404532577903683,24.7198879551821,119
8,FALSE,1-3-3,87,19676,27420,15,795,0.0404045537710917,24.7496855345912,53
9,FALSE,1-3-4,73,16398,27420,15,660,0.0402488108305891,24.8454545454546,44
10,FALSE,1-3-5,51,11766,27420,15,480,0.0407955124936257,24.5125,32
11,FALSE,1-3-6,74,16584,27420,15,675,0.0407018813314038,24.5688888888889,45
12,FALSE,1-4-2,486,69774,27420,15,2820,0.0404162008771176,24.7425531914894,188
13,FALSE,1-4-3,263,31383,27420,15,1260,0.0401491253226269,24.9071428571429,84
14,FALSE,1-4-4,219,26187,27420,15,1065,0.0406690342536373,24.5887323943662,71
15,FALSE,1-4-5,294,37017,27420,15,1500,0.0405219223599968,24.678,100
16,FALSE,1-4-6,291,33011,27420,15,1335,0.0404410650995123,24.72734082397,89
17,TRUE,0-1-1-11241,1,382,210,3,15,0.0392670157068063,25.4666666666667,1
18,TRUE,0-1-1-13331,1,435,210,3,18,0.0413793103448276,24.1666666666667,1
19,TRUE,0-1-1-13351,1,431,210,3,18,0.0417633410672854,23.9444444444445,1
20,TRUE,0-1-1-13631,1,402,210,3,18,0.0447761194029851,22.3333333333333,1
21,TRUE,0-1-1-14701,1,395,210,3,15,0.0379746835443038,26.3333333333333,1
22,TRUE,0-1-1-15441,1,402,210,3,18,0.0447761194029851,22.3333333333333,1
23,TRUE,0-1-1-15451,1,489,210,3,21,0.0429447852760736,23.2857142857143,1
24,TRUE,0-1-1-15841,1,406,210,3,18,0.0443349753694581,22.5555555555556,1
25,TRUE,0-1-1-16021,1,381,210,3,15,0.0393700787401575,25.4,1
26,TRUE,0-1-1-17821,1,455,210,3,18,0.0395604395604396,25.2777777777778,1
27,TRUE,0-1-1-19471,1,396,210,3,15,0.0378787878787879,26.4,1
28,TRUE,0-4-2-24184,1,545,210,3,21,0.0385321100917431,25.952380952381,1
