1: Rīga
2: Cities, Pierīga
3: Cities, Vidzeme
4: Cities, Kurzeme
5: Cities, Zemgale
6: Cities, Latgale
7: Towns, Pierīga
8: Towns, Vidzeme
9: Towns, Kurzeme
10: Towns, Zemgale
11: Towns, Latgale
12: Rural, Pierīga
13: Rural, Vidzeme
14: Rural, Kurzeme
15: Rural, Zemgale
16: Rural, Latgale
17: Rīga, 11241
18: Rīga, 13331
19: Rīga, 13351
20: Rīga, 13631
21: Rīga, 14701
22: Rīga, 15441
23: Rīga, 15451
24: Rīga, 15841
25: Rīga, 16021
26: Rīga, 17821
27: Rīga, 19471
28: Rural, Pierīga, 24184
